Format Version,1.21,Take Name,Take 2021-02-24 11.08.39 AM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-02-24 11.08.39 AM,Total Frames in Take,1337,Total Exported Frames,1337,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,Unlabeled:104,Unlabeled:104,Unlabeled:104
,,"8392B20CF49E357068","8392B20CF49E357068","8392B20CF49E357068"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,2.659815,0.785560,0.770060
1,0.008333,2.659828,0.785568,0.770060
2,0.016667,2.659814,0.785549,0.770049
3,0.025000,2.659820,0.785547,0.770044
4,0.033333,2.659837,0.785561,0.770047
5,0.041667,2.659833,0.785569,0.770053
6,0.050000,2.659828,0.785549,0.770045
7,0.058333,2.659811,0.785568,0.770054
8,0.066667,2.659828,0.785558,0.770050
9,0.075000,2.659821,0.785560,0.770049
10,0.083333,2.659833,0.785581,0.770045
11,0.091667,2.659819,0.785550,0.770047
12,0.100000,2.659832,0.785556,0.770049
13,0.108333,2.659832,0.785567,0.770048
14,0.116667,2.659818,0.785561,0.770058
15,0.125000,2.659833,0.785578,0.770055
16,0.133333,2.659825,0.785574,0.770059
17,0.141667,2.659837,0.785572,0.770053
18,0.150000,2.659816,0.785563,0.770046
19,0.158333,2.659831,0.785573,0.770042
20,0.166667,2.659814,0.785550,0.770053
21,0.175000,2.659830,0.785570,0.770051
22,0.183333,2.659822,0.785550,0.770052
23,0.191667,2.659830,0.785582,0.770055
24,0.200000,2.659822,0.785575,0.770054
25,0.208333,2.659827,0.785580,0.770055
26,0.216667,2.659822,0.785553,0.770052
27,0.225000,2.659829,0.785557,0.770055
28,0.233333,2.659816,0.785559,0.770059
29,0.241667,2.659817,0.785567,0.770054
30,0.250000,2.659827,0.785570,0.770058
31,0.258333,2.659834,0.785570,0.770054
32,0.266667,2.659836,0.785580,0.770060
33,0.275000,2.659816,0.785562,0.770053
34,0.283333,2.659827,0.785554,0.770042
35,0.291667,2.659810,0.785540,0.770052
36,0.300000,2.659822,0.785566,0.770062
37,0.308333,2.659820,0.785564,0.770060
38,0.316667,2.659829,0.785560,0.770050
39,0.325000,2.659825,0.785559,0.770050
40,0.333333,2.659816,0.785559,0.770053
41,0.341667,2.659829,0.785546,0.770039
42,0.350000,2.659818,0.785550,0.770045
43,0.358333,2.659823,0.785553,0.770050
